diagnosis,type,number,percent
Female pelvic peritoneal adhesions,Overall,5160,15.1
Female pelvic peritoneal adhesions,Principal diagnosis,2974,16.7
Female pelvic peritoneal adhesions,Additional diagnosis only,2186,13.3
Excessive and frequent menstruation with regular cycle,Overall,3202,9.4
Excessive and frequent menstruation with regular cycle,Principal diagnosis,477,2.7
Excessive and frequent menstruation with regular cycle,Additional diagnosis only,2725,16.6
Peritoneal adhesions,Overall,3024,8.8
Peritoneal adhesions,Principal diagnosis,1631,9.2
Peritoneal adhesions,Additional diagnosis only,1393,8.5
Leiomyoma of uterus unspecified,Overall,3006,8.8
Leiomyoma of uterus unspecified,Principal diagnosis,707,4.0
Leiomyoma of uterus unspecified,Additional diagnosis only,2299,14.0
Pelvic and perineal pain,Overall,2741,8.0
Pelvic and perineal pain,Principal diagnosis,326,1.9
Pelvic and perineal pain,Additional diagnosis only,2415,14.7
Female infertility unspecified,Overall,2720,7.9
Female infertility unspecified,Principal diagnosis,648,3.6
Female infertility unspecified,Additional diagnosis only,2072,12.6
Insertion of contraceptive device,Overall,1759,5.1
Insertion of contraceptive device,Principal diagnosis,1156,6.5
Insertion of contraceptive device,Additional diagnosis only,603,3.7
Other and unspecified ovarian cysts,Overall,1749,5.1
Other and unspecified ovarian cysts,Principal diagnosis,661,3.7
Other and unspecified ovarian cysts,Additional diagnosis only,1088,6.6
Dysmenorrhoea unspecified,Overall,1728,5.0
Dysmenorrhoea unspecified,Principal diagnosis,362,2.0
Dysmenorrhoea unspecified,Additional diagnosis only,1366,8.3
Polyp of corpus uteri,Overall,1587,4.6
Polyp of corpus uteri,Principal diagnosis,572,3.2
Polyp of corpus uteri,Additional diagnosis only,1015,6.2